date,location,crime_type,perp_age,perp_gender,perp_occupation,motive,status
2023-11-03,Sumatera Barat,Penyalahgunaan Narkoba,22,Laki-laki,PNS,Ekonomi,Selesai
2021-04-14,Kalimantan Selatan,Pencurian,37,Laki-laki,Polisi,Ekonomi,Dalam Proses
2024-07-06,Kalimantan Timur,Penganiayaan,21,Laki-laki,PNS,Tekanan Sosial,Selesai
2021-07-02,Jawa Tengah,Pencurian,27,Perempuan,Buruh,Kecanduan,Dalam Proses
2023-03-07,Sulawesi Selatan,Penganiayaan,30,Laki-laki,TNI,Pengaruh Lingkungan,Selesai
2021-10-06,Jawa Barat,Perampokan,19,Perempuan,Petani,Ketidaktahuan Hukum,Belum Terselesaikan
2022-10-19,Papua,Penipuan,31,Laki-laki,Mahasiswa,Ketidaktahuan Hukum,Belum Terselesaikan
2022-07-28,Jawa Timur,Pencurian Kendaraan Bermotor,21,Perempuan,Pedagang,Kebutuhan Mendesak,Selesai
2020-10-12,Jawa Barat,Penganiayaan,15,Perempuan,Petani,Pengaruh Lingkungan,Dalam Proses
2023-02-23,Sumatera Barat,Pencurian,28,Perempuan,Wiraswasta,Kebutuhan Mendesak,Dalam Proses
2024-03-09,Kalimantan Timur,Penyalahgunaan Narkoba,18,Laki-laki,Sopir,Tekanan Sosial,Selesai
2023-04-10,Sulawesi Utara,Pembunuhan,32,Perempuan,Mahasiswa,Konflik Personal,Dalam Proses
2021-03-25,Kalimantan Selatan,Perampokan,58,Perempuan,Pedagang,Provokasi,Selesai
2022-10-07,Jawa Timur,Pencurian,24,Laki-laki,Buruh,Ekonomi,Selesai
2024-10-29,Jawa Tengah,Penganiayaan,28,Laki-laki,Buruh,Cemburu,Selesai
2023-07-09,Sulawesi Utara,Penipuan,28,Perempuan,Pedagang,Ketidaktahuan Hukum,Selesai
2022-05-14,Sumatera Selatan,Pencurian,19,Laki-laki,Sopir,Dendam,Selesai
2022-02-27,Sumatera Barat,Penyalahgunaan Narkoba,15,Perempuan,Mahasiswa,Keserakahan,Selesai
2022-08-16,Jawa Timur,Pencurian,29,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Belum Terselesaikan
2023-02-07,Sulawesi Utara,Penyalahgunaan Narkoba,18,Laki-laki,Polisi,Ekonomi,Selesai
2023-10-25,Sumatera Barat,Penyalahgunaan Narkoba,25,Laki-laki,Guru,Dendam,Selesai
2023-10-28,Aceh,Perampokan,44,Laki-laki,TNI,Provokasi,Selesai
2024-03-17,Jawa Timur,Perampokan,36,Laki-laki,Pegawai Swasta,Ketidaktahuan Hukum,Selesai
2021-11-27,DKI Jakarta,Pencurian,31,Laki-laki,Buruh,Kebutuhan Mendesak,Selesai
2022-06-09,Sumatera Utara,Penganiayaan,34,Laki-laki,Pedagang,Gangguan Mental,Selesai
2020-01-07,Jawa Timur,Penyalahgunaan Narkoba,24,Laki-laki,Guru,Pengaruh Lingkungan,Dalam Proses
2021-06-23,Sumatera Utara,Pemerkosaan,29,Laki-laki,Wiraswasta,Cemburu,Selesai
2022-11-05,DKI Jakarta,Penyalahgunaan Narkoba,28,Perempuan,TNI,Dendam,Selesai
2024-11-17,Jawa Timur,Penyalahgunaan Narkoba,24,Laki-laki,Tukang,Kebutuhan Mendesak,Selesai
2024-09-19,Maluku,Penipuan,30,Laki-laki,Tukang,Provokasi,Selesai
2023-06-01,Bali,Pencurian,23,Perempuan,Petani,Cemburu,Selesai
2022-02-04,DKI Jakarta,Penyalahgunaan Narkoba,35,Perempuan,Perawat,Cemburu,Dalam Proses
2023-01-09,Jawa Tengah,Pencurian,30,Perempuan,Perawat,Provokasi,Dalam Proses
2020-01-02,Jambi,Penipuan,38,Laki-laki,Sopir,Konflik Personal,Belum Terselesaikan
2022-09-27,Bali,Penipuan,23,Perempuan,Tidak Bekerja,Dendam,Dalam Proses
2022-01-13,DKI Jakarta,Korupsi,38,Laki-laki,TNI,Kebutuhan Mendesak,Belum Terselesaikan
2021-05-05,Jawa Timur,Pencurian,28,Perempuan,Tidak Bekerja,Kecanduan,Selesai
2024-12-03,Jawa Tengah,Pencurian Kendaraan Bermotor,28,Laki-laki,Sopir,Dendam,Selesai
2020-06-24,Jawa Tengah,Penipuan,32,Laki-laki,Guru,Gangguan Mental,Dalam Proses
2024-07-29,Sulawesi Selatan,Perampokan,27,Laki-laki,Buruh,Provokasi,Selesai
2024-04-17,Jawa Timur,Pemerkosaan,20,Laki-laki,Pedagang,Cemburu,Selesai
2023-09-13,Jawa Barat,Perampokan,21,Laki-laki,Pelajar,Provokasi,Dalam Proses
2020-12-04,DKI Jakarta,Pembunuhan,29,Perempuan,Pegawai Swasta,Provokasi,Selesai
2024-11-21,DKI Jakarta,Kekerasan Dalam Rumah Tangga,16,Perempuan,Sopir,Tekanan Sosial,Belum Terselesaikan
2021-03-09,Bengkulu,Perampokan,16,Laki-laki,TNI,Provokasi,Selesai
2024-03-26,Sulawesi Selatan,Penganiayaan,34,Laki-laki,Guru,Pengaruh Lingkungan,Selesai
2021-02-15,DKI Jakarta,Penganiayaan,26,Laki-laki,Guru,Kebutuhan Mendesak,Selesai
2022-03-28,DKI Jakarta,Penyalahgunaan Narkoba,32,Perempuan,Tukang,Ketidaktahuan Hukum,Selesai
2022-02-03,Jawa Tengah,Pemerkosaan,40,Laki-laki,Pelajar,Provokasi,Belum Terselesaikan
2022-07-13,DKI Jakarta,Pencurian Kendaraan Bermotor,29,Laki-laki,Buruh,Kecanduan,Selesai
2021-04-05,Riau,Penganiayaan,28,Laki-laki,Buruh,Konflik Personal,Dalam Proses
2020-02-13,Sumatera Utara,Penyalahgunaan Narkoba,34,Laki-laki,Sopir,Provokasi,Selesai
2021-04-16,Aceh,Korupsi,29,Laki-laki,Sopir,Kecanduan,Dalam Proses
2020-01-15,Jawa Tengah,Pencurian,15,Laki-laki,Buruh,Pengaruh Lingkungan,Selesai
2023-07-16,Lampung,Kekerasan Dalam Rumah Tangga,23,Laki-laki,Tidak Bekerja,Kecanduan,Selesai
2020-05-18,Jawa Tengah,Pembunuhan,20,Perempuan,TNI,Ekonomi,Dalam Proses
2024-10-26,Maluku,Perampokan,31,Laki-laki,PNS,Dendam,Selesai
2022-11-18,Maluku,Pemerkosaan,37,Perempuan,Petani,Kebutuhan Mendesak,Selesai
2023-10-02,Sumatera Selatan,Penipuan,24,Perempuan,Pelajar,Kecanduan,Dalam Proses
2023-01-09,Sulawesi Utara,Penganiayaan,15,Laki-laki,Pedagang,Pengaruh Lingkungan,Belum Terselesaikan
2024-12-12,Sulawesi Utara,Kekerasan Dalam Rumah Tangga,23,Perempuan,Sopir,Keserakahan,Selesai
2022-08-26,Sulawesi Selatan,Pencurian Kendaraan Bermotor,24,Laki-laki,Petani,Gangguan Mental,Selesai
2024-07-11,Aceh,Penyalahgunaan Narkoba,32,Laki-laki,Mahasiswa,Kecanduan,Dalam Proses
2020-07-12,Sumatera Selatan,Penipuan,30,Laki-laki,Buruh,Ketidaktahuan Hukum,Dalam Proses
2022-06-01,Sumatera Utara,Pemerkosaan,22,Laki-laki,PNS,Tekanan Sosial,Selesai
2022-04-21,Bali,Penipuan,33,Perempuan,Pelajar,Pengaruh Lingkungan,Selesai
2020-04-20,Jawa Barat,Pencurian,38,Laki-laki,Tukang,Ketidaktahuan Hukum,Selesai
2023-08-16,Jawa Timur,Penipuan,25,Laki-laki,Buruh,Ekonomi,Dalam Proses
2022-04-04,Jawa Timur,Penyalahgunaan Narkoba,33,Perempuan,Guru,Konflik Personal,Belum Terselesaikan
2024-06-27,Jawa Barat,Pencurian Kendaraan Bermotor,15,Laki-laki,Polisi,Dendam,Belum Terselesaikan
2021-05-24,Sumatera Utara,Penipuan,27,Laki-laki,Petani,Kecanduan,Selesai
2023-01-03,DKI Jakarta,Pencurian,30,Laki-laki,Pelajar,Cemburu,Selesai
2022-05-14,Nusa Tenggara Barat,Penganiayaan,20,Laki-laki,Pedagang,Kebutuhan Mendesak,Selesai
2022-08-05,Jawa Barat,Pencurian,23,Laki-laki,Petani,Dendam,Selesai
2022-06-26,DKI Jakarta,Penganiayaan,21,Laki-laki,Perawat,Provokasi,Selesai
2020-07-19,Sumatera Utara,Penyalahgunaan Narkoba,22,Perempuan,Tidak Bekerja,Ketidaktahuan Hukum,Belum Terselesaikan
2023-01-12,DKI Jakarta,Penipuan,29,Perempuan,Polisi,Ekonomi,Dalam Proses
2020-07-10,Jawa Barat,Pencurian,25,Laki-laki,TNI,Kecanduan,Selesai
2020-12-06,Sumatera Utara,Perampokan,15,Laki-laki,Mahasiswa,Gangguan Mental,Selesai
2022-09-12,Kalimantan Selatan,Korupsi,52,Laki-laki,Petani,Tekanan Sosial,Selesai
2020-04-30,Sumatera Barat,Pencurian,36,Laki-laki,Pedagang,Tekanan Sosial,Selesai
2020-01-05,DKI Jakarta,Penipuan,22,Laki-laki,Mahasiswa,Kebutuhan Mendesak,Belum Terselesaikan
2024-05-24,Sumatera Selatan,Penyalahgunaan Narkoba,19,Perempuan,Perawat,Gangguan Mental,Selesai
2021-08-07,DKI Jakarta,Penganiayaan,40,Laki-laki,Mahasiswa,Pengaruh Lingkungan,Selesai
2024-02-05,Jawa Tengah,Penipuan,32,Laki-laki,Perawat,Provokasi,Selesai
2023-09-17,Jawa Timur,Kekerasan Dalam Rumah Tangga,16,Laki-laki,Guru,Gangguan Mental,Selesai
2020-11-13,Jawa Barat,Pencurian,32,Laki-laki,Petani,Kebutuhan Mendesak,Selesai
2021-03-21,Jawa Barat,Korupsi,28,Laki-laki,Tidak Bekerja,Keserakahan,Belum Terselesaikan
2024-02-15,DKI Jakarta,Penipuan,21,Perempuan,Wiraswasta,Ekonomi,Belum Terselesaikan
2024-03-11,Sulawesi Utara,Penipuan,32,Perempuan,PNS,Ekonomi,Selesai
2020-04-12,Sumatera Barat,Penipuan,20,Perempuan,Sopir,Gangguan Mental,Selesai
2022-10-26,Jawa Tengah,Penipuan,15,Laki-laki,TNI,Provokasi,Dalam Proses
2020-11-18,Jawa Tengah,Penganiayaan,28,Laki-laki,Tidak Bekerja,Provokasi,Selesai
2020-06-13,Sumatera Barat,Pencurian,21,Laki-laki,Polisi,Cemburu,Belum Terselesaikan
2020-05-20,Jawa Tengah,Pembunuhan,24,Laki-laki,Sopir,Dendam,Dalam Proses
2023-10-14,Sulawesi Selatan,Penganiayaan,15,Laki-laki,Polisi,Kecanduan,Belum Terselesaikan
2022-04-06,Sulawesi Utara,Pencurian Kendaraan Bermotor,21,Laki-laki,Buruh,Keserakahan,Dalam Proses
2021-05-19,Maluku,Pencurian,28,Laki-laki,Sopir,Keserakahan,Dalam Proses
2020-03-22,Jawa Barat,Perampokan,26,Laki-laki,Sopir,Dendam,Selesai
2022-05-08,Jawa Barat,Pembunuhan,30,Laki-laki,Tukang,Keserakahan,Belum Terselesaikan
2023-03-03,Jawa Timur,Pembunuhan,44,Laki-laki,Wiraswasta,Konflik Personal,Selesai
2021-06-18,Sumatera Utara,Penipuan,28,Laki-laki,Petani,Ketidaktahuan Hukum,Belum Terselesaikan
2024-01-06,Jawa Timur,Penganiayaan,41,Perempuan,PNS,Kecanduan,Dalam Proses
2021-06-27,DKI Jakarta,Pencurian Kendaraan Bermotor,16,Laki-laki,Mahasiswa,Cemburu,Dalam Proses
2023-10-07,Sumatera Selatan,Penganiayaan,37,Perempuan,Tukang,Kebutuhan Mendesak,Dalam Proses
2022-07-25,Jawa Barat,Penipuan,34,Laki-laki,PNS,Dendam,Selesai
2020-01-20,Sulawesi Selatan,Pemerkosaan,21,Laki-laki,Pelajar,Keserakahan,Dalam Proses
2023-02-27,DKI Jakarta,Pembunuhan,25,Perempuan,Buruh,Dendam,Selesai
2023-01-06,Jawa Barat,Perampokan,20,Perempuan,Petani,Provokasi,Dalam Proses
2021-06-27,Kalimantan Timur,Penganiayaan,21,Laki-laki,Pedagang,Konflik Personal,Belum Terselesaikan
2024-12-09,Sumatera Barat,Penipuan,18,Laki-laki,Buruh,Kecanduan,Belum Terselesaikan
2022-01-26,Jawa Barat,Penganiayaan,47,Laki-laki,Pegawai Swasta,Cemburu,Belum Terselesaikan
2022-06-16,Maluku,Penganiayaan,29,Laki-laki,Polisi,Provokasi,Belum Terselesaikan
2023-12-11,Kalimantan Selatan,Pencurian,43,Laki-laki,Pegawai Swasta,Keserakahan,Dalam Proses
2024-07-10,Maluku,Pencurian Kendaraan Bermotor,38,Laki-laki,Tukang,Provokasi,Selesai
2020-01-17,Bengkulu,Pembunuhan,28,Laki-laki,Tukang,Provokasi,Selesai
2021-09-05,DKI Jakarta,Penipuan,36,Perempuan,TNI,Ketidaktahuan Hukum,Selesai
2020-07-31,Jawa Tengah,Penipuan,34,Laki-laki,TNI,Cemburu,Selesai
2021-06-25,Kalimantan Selatan,Penganiayaan,28,Laki-laki,Buruh,Dendam,Selesai
2024-02-29,Jawa Barat,Pencurian,15,Perempuan,Wiraswasta,Cemburu,Selesai
2021-07-11,Sumatera Barat,Penyalahgunaan Narkoba,27,Laki-laki,Pegawai Swasta,Keserakahan,Dalam Proses
2021-03-07,Jawa Barat,Pencurian Kendaraan Bermotor,25,Laki-laki,Guru,Konflik Personal,Belum Terselesaikan
2021-02-20,Sumatera Utara,Penganiayaan,19,Laki-laki,Tukang,Ketidaktahuan Hukum,Dalam Proses
2024-10-12,Jawa Barat,Korupsi,23,Laki-laki,Pegawai Swasta,Provokasi,Selesai
2022-09-27,Sumatera Barat,Pencurian,23,Perempuan,Pegawai Swasta,Ekonomi,Selesai
2020-07-08,Sumatera Utara,Penipuan,37,Laki-laki,Tukang,Tekanan Sosial,Selesai
2024-08-25,Bali,Pencurian Kendaraan Bermotor,15,Laki-laki,Pegawai Swasta,Ekonomi,Selesai
2020-01-08,Sumatera Selatan,Penipuan,35,Laki-laki,PNS,Cemburu,Selesai
2023-07-28,Jawa Barat,Penyalahgunaan Narkoba,38,Laki-laki,Pegawai Swasta,Cemburu,Selesai
2024-02-27,Sulawesi Selatan,Pencurian,18,Laki-laki,Pelajar,Provokasi,Selesai
2023-12-16,Kalimantan Selatan,Pemerkosaan,33,Perempuan,Mahasiswa,Provokasi,Selesai
2020-01-20,Kalimantan Timur,Pencurian,32,Laki-laki,Buruh,Dendam,Selesai
2024-12-13,Jawa Barat,Pencurian,25,Laki-laki,Guru,Cemburu,Selesai
2023-01-22,Jawa Timur,Korupsi,23,Laki-laki,Tidak Bekerja,Konflik Personal,Selesai
2023-04-07,Sumatera Selatan,Penipuan,36,Laki-laki,Wiraswasta,Cemburu,Selesai
2022-05-30,Sumatera Barat,Penipuan,29,Perempuan,Pedagang,Ekonomi,Selesai
2021-09-23,Bali,Penganiayaan,27,Perempuan,PNS,Ekonomi,Dalam Proses
2022-01-02,Jawa Timur,Pencurian,30,Laki-laki,Petani,Ketidaktahuan Hukum,Selesai
2021-05-26,Jawa Barat,Pembunuhan,15,Perempuan,Tukang,Dendam,Selesai
2021-12-25,Jawa Barat,Penipuan,29,Laki-laki,Perawat,Provokasi,Selesai
2024-12-15,Kalimantan Timur,Pembunuhan,20,Laki-laki,Polisi,Tekanan Sosial,Selesai
2023-06-25,Jawa Barat,Korupsi,30,Laki-laki,Guru,Cemburu,Dalam Proses
2021-04-29,Jawa Barat,Korupsi,35,Laki-laki,Polisi,Cemburu,Selesai
2024-06-26,Sumatera Utara,Pencurian,32,Laki-laki,Perawat,Cemburu,Dalam Proses
2024-12-10,Jawa Barat,Penipuan,22,Laki-laki,Mahasiswa,Ekonomi,Selesai
2021-01-02,Kalimantan Selatan,Penipuan,20,Laki-laki,Guru,Konflik Personal,Belum Terselesaikan
2024-05-21,Kalimantan Selatan,Pencurian,49,Laki-laki,TNI,Tekanan Sosial,Selesai
2024-06-30,Sumatera Selatan,Pencurian,48,Laki-laki,Tukang,Pengaruh Lingkungan,Dalam Proses
2024-07-18,DKI Jakarta,Pencurian,27,Perempuan,Petani,Kebutuhan Mendesak,Selesai
2020-11-22,Kalimantan Timur,Penipuan,33,Perempuan,Perawat,Pengaruh Lingkungan,Dalam Proses
2020-08-09,Jawa Tengah,Penganiayaan,23,Laki-laki,Mahasiswa,Ekonomi,Selesai
2024-10-24,Papua,Pencurian,27,Laki-laki,Pelajar,Kecanduan,Selesai
2021-02-12,Bali,Perampokan,32,Perempuan,Polisi,Gangguan Mental,Dalam Proses
2021-12-17,Kalimantan Timur,Pembunuhan,27,Laki-laki,Pegawai Swasta,Kecanduan,Belum Terselesaikan
2021-04-01,Maluku,Pencurian,15,Perempuan,Tidak Bekerja,Ketidaktahuan Hukum,Belum Terselesaikan
2021-01-30,Jawa Barat,Penganiayaan,19,Perempuan,Mahasiswa,Konflik Personal,Belum Terselesaikan
2021-07-24,Maluku,Penganiayaan,36,Perempuan,Polisi,Dendam,Dalam Proses
2024-05-02,Jawa Tengah,Pembunuhan,28,Laki-laki,Pegawai Swasta,Konflik Personal,Selesai
2023-08-06,DKI Jakarta,Penyalahgunaan Narkoba,24,Laki-laki,Wiraswasta,Tekanan Sosial,Dalam Proses
2023-10-23,DKI Jakarta,Penipuan,39,Laki-laki,Polisi,Provokasi,Dalam Proses
2021-11-09,Nusa Tenggara Barat,Penyalahgunaan Narkoba,29,Laki-laki,Tidak Bekerja,Dendam,Selesai
2024-12-01,Bali,Pencurian,28,Perempuan,Pegawai Swasta,Cemburu,Dalam Proses
2023-04-04,Jambi,Penipuan,36,Perempuan,Pegawai Swasta,Ekonomi,Selesai
2020-08-10,Sumatera Utara,Penyalahgunaan Narkoba,24,Laki-laki,Sopir,Tekanan Sosial,Dalam Proses
2021-12-08,Jawa Barat,Pencurian,39,Laki-laki,Guru,Konflik Personal,Selesai
2022-06-12,Jawa Tengah,Pencurian,27,Laki-laki,Sopir,Provokasi,Dalam Proses
2020-08-24,Jawa Barat,Pencurian Kendaraan Bermotor,29,Perempuan,Mahasiswa,Keserakahan,Selesai
2021-01-24,Jawa Timur,Pemerkosaan,27,Laki-laki,Pegawai Swasta,Ekonomi,Selesai
2023-12-22,Jambi,Pencurian,33,Perempuan,Mahasiswa,Ekonomi,Dalam Proses
2022-11-30,Sumatera Selatan,Penganiayaan,22,Laki-laki,TNI,Provokasi,Selesai
2023-11-07,Sulawesi Selatan,Penipuan,23,Laki-laki,Guru,Pengaruh Lingkungan,Belum Terselesaikan
2024-02-18,Nusa Tenggara Barat,Pencurian Kendaraan Bermotor,39,Laki-laki,Tukang,Kecanduan,Selesai
2022-01-15,Sulawesi Utara,Pencurian,23,Laki-laki,Mahasiswa,Dendam,Selesai
2023-09-22,Sumatera Selatan,Penganiayaan,23,Perempuan,TNI,Konflik Personal,Belum Terselesaikan
2023-06-30,Bali,Pembunuhan,24,Laki-laki,PNS,Ketidaktahuan Hukum,Selesai
2024-10-02,DKI Jakarta,Penipuan,16,Perempuan,Buruh,Pengaruh Lingkungan,Selesai
2021-09-07,DKI Jakarta,Pencurian,22,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Selesai
2023-09-27,Bali,Penganiayaan,48,Perempuan,Mahasiswa,Konflik Personal,Selesai
2022-04-04,Kalimantan Timur,Penganiayaan,23,Laki-laki,Guru,Kebutuhan Mendesak,Belum Terselesaikan
2023-02-09,Sulawesi Selatan,Penyalahgunaan Narkoba,34,Laki-laki,Pedagang,Kecanduan,Dalam Proses
2022-05-11,Sumatera Selatan,Perampokan,32,Laki-laki,Tukang,Tekanan Sosial,Belum Terselesaikan
2023-10-19,Bali,Pencurian,26,Laki-laki,Guru,Cemburu,Dalam Proses
2023-06-14,Jawa Barat,Pembunuhan,29,Perempuan,Sopir,Kebutuhan Mendesak,Selesai
2022-04-11,DKI Jakarta,Penipuan,29,Laki-laki,Wiraswasta,Ekonomi,Selesai
2021-09-14,Sumatera Selatan,Penganiayaan,28,Perempuan,Pegawai Swasta,Kecanduan,Selesai
2022-05-30,Sulawesi Selatan,Penganiayaan,27,Laki-laki,Perawat,Keserakahan,Belum Terselesaikan
2023-05-27,DKI Jakarta,Pencurian Kendaraan Bermotor,30,Laki-laki,Tukang,Konflik Personal,Selesai
2022-08-10,Jawa Tengah,Penyalahgunaan Narkoba,29,Laki-laki,Pelajar,Gangguan Mental,Dalam Proses
2023-10-15,DKI Jakarta,Pemerkosaan,22,Perempuan,Petani,Provokasi,Belum Terselesaikan
2022-08-27,Kalimantan Selatan,Pencurian,40,Laki-laki,Perawat,Pengaruh Lingkungan,Selesai
2020-12-13,Jawa Tengah,Kekerasan Dalam Rumah Tangga,27,Laki-laki,Tukang,Dendam,Selesai
2021-08-04,Jawa Barat,Perampokan,19,Laki-laki,Wiraswasta,Ketidaktahuan Hukum,Dalam Proses
2023-07-20,Kalimantan Timur,Penipuan,33,Perempuan,Sopir,Konflik Personal,Selesai
2020-07-10,Jawa Timur,Pencurian Kendaraan Bermotor,42,Laki-laki,Polisi,Kecanduan,Selesai
2023-10-09,Bengkulu,Penipuan,19,Perempuan,Pegawai Swasta,Kecanduan,Selesai
2024-07-09,Jawa Barat,Pencurian,17,Perempuan,Petani,Cemburu,Selesai
2020-02-20,Riau,Pencurian,39,Perempuan,Tidak Bekerja,Kecanduan,Dalam Proses
2022-08-31,Sulawesi Selatan,Pembunuhan,33,Laki-laki,Sopir,Dendam,Selesai
2022-07-21,Papua,Penyalahgunaan Narkoba,38,Perempuan,Mahasiswa,Ketidaktahuan Hukum,Selesai
2023-03-24,DKI Jakarta,Pencurian,22,Laki-laki,Petani,Pengaruh Lingkungan,Selesai
2023-11-27,DKI Jakarta,Penganiayaan,42,Laki-laki,Mahasiswa,Gangguan Mental,Dalam Proses
2022-03-29,Jawa Tengah,Penganiayaan,24,Laki-laki,Petani,Cemburu,Selesai
2023-09-05,Kalimantan Timur,Pemerkosaan,15,Perempuan,Guru,Ekonomi,Selesai
2024-03-17,Sumatera Utara,Pencurian,27,Laki-laki,Polisi,Dendam,Dalam Proses
2024-05-13,Sumatera Barat,Pencurian,18,Laki-laki,Mahasiswa,Kecanduan,Selesai
2020-12-26,DKI Jakarta,Penipuan,19,Laki-laki,Perawat,Pengaruh Lingkungan,Dalam Proses
2022-11-26,Sulawesi Utara,Pencurian,25,Laki-laki,Pelajar,Ekonomi,Selesai
2023-02-15,Sumatera Selatan,Penyalahgunaan Narkoba,28,Perempuan,Petani,Dendam,Belum Terselesaikan
2022-07-23,Kalimantan Selatan,Pembunuhan,22,Laki-laki,Pedagang,Gangguan Mental,Dalam Proses
2023-09-29,DKI Jakarta,Korupsi,38,Laki-laki,Wiraswasta,Provokasi,Dalam Proses
2023-05-04,Sumatera Utara,Perampokan,29,Laki-laki,PNS,Gangguan Mental,Selesai
2023-06-08,Jawa Barat,Pencurian,25,Perempuan,Polisi,Pengaruh Lingkungan,Selesai
2024-12-31,Jawa Barat,Perampokan,31,Laki-laki,Wiraswasta,Tekanan Sosial,Selesai
2024-08-28,Sumatera Barat,Penyalahgunaan Narkoba,28,Laki-laki,TNI,Provokasi,Dalam Proses
2022-07-02,DKI Jakarta,Pencurian,28,Laki-laki,TNI,Cemburu,Selesai
2024-03-03,Bali,Perampokan,24,Laki-laki,Polisi,Gangguan Mental,Selesai
2022-07-10,Bengkulu,Pencurian,40,Perempuan,Pegawai Swasta,Kecanduan,Selesai
2024-09-16,Jawa Timur,Perampokan,36,Perempuan,Tukang,Kebutuhan Mendesak,Selesai
2024-04-17,Jawa Tengah,Penganiayaan,27,Perempuan,Perawat,Provokasi,Selesai
